Week,Posts,PostsInWeek
2,  WhereIsRey  Avengers set  no Black Widow Guardians set  no Gamora  StarWars   no Rey. She's THE MAIN CHARACTER.   WhereIsRey  ,314
2,  StarWars    StarWars  The Force Awakens toy set doesn't bother to include film's protagonist   WhereIsRey   http://dspy.me/1Qmki2h ,314
2,"Well, the good news is I don't have to worry about standing in line  Hasbro  during SDCC anymore.   WhereIsRey  ",314
2,Look at how many damn figures Leia got. http://jedibusiness.com/ StarWars figures.aspx?type=name&typeName=Princess%20Leia …   WhereIsRey  Look at how many damn figures Leia got. http://jedibusiness.com/ StarWars figures.aspx?type=name&typeName=Princess%20Leia …   WhereIsRey  ,314
2,RT Heroic girl :  Target : Where “Exclusive” Means “Excluding  girl ”   WhereIsRey   http://buff.ly/1lkskvY    WhereIsRey  ,314
2,I really respect   WhereIsRey  . It's the  StarWars  fans consisting of all gender and ages coming together and taking control of what they want.I really respect   WhereIsRey  . It's the  StarWars  fans consisting of all gender and ages coming together and taking control of what they want.,314
2,Regarding   WhereIsRey  . The real question of where's Rey should be brought up to  Hasbro .  Target s' exclusive box is nothing but a repack ofRegarding   WhereIsRey  . The real question of where's Rey should be brought up to  Hasbro .  Target s' exclusive box is nothing but a repack of,314
2,Damn right we're asking   WhereIsRey  . It is utterly unacceptable to not include her. Isn't she the main character?!Damn right we're asking   WhereIsRey  . It is utterly unacceptable to not include her. Isn't she the main character?!,314
2,"  WhereIsRey   I dunno, the figures are coming and Rey is a central character, I don't think this is in the same realm as Gamora or Widow.  WhereIsRey   I dunno, the figures are coming and Rey is a central character, I don't think this is in the same realm as Gamora or Widow.",314
2,  WhereIsRey  Avengers set  no Black Widow Guardians set  no Gamora  StarWars   no Rey. She's THE MAIN CHARACTER.   WhereIsRey  ,314
2,Seriously? A lead character as well? Come on  Target    WhereIsRey   ?,314
2,You remove genderbased toy aisle signs but put out a  StarWars  gift set w/o the main female hero+villain? What the hell  Target ?   WhereIsRey  ,314
2, Target   Hasbro  After the backlash re Black Widow missing from Avengers merch you leave out the only female hero in   StarWars  ?   WhereIsRey  ,314
2,For real  Target  and  Hasbro ? A  StarWars  toy gift set full of new characters but without Rey or Phasma?   WhereIsRey   http://nerdist.com/ StarWars theforceawakenssetat Target leavesreyoutanditsnotokay/ …,314
2,It's pretty neat that just one gift set spawns a whole   WhereIsRey   movement but don't forget the other females who are being ignored more.It's pretty neat that just one gift set spawns a whole   WhereIsRey   movement but don't forget the other females who are being ignored more.,314
2,  WhereIsRey   try google  WhereIsRey   try google,314
2,  WhereIsRey   TheresRey You can dress as her too http://www. Disney store.co.uk/ StarWars theforceawakensreycostumeforkids/mp/84111/1500029/ …  WhereIsRey   TheresRey You can dress as her too http://www. Disney store.co.uk/ StarWars theforceawakensreycostumeforkids/mp/84111/1500029/ …,314
2,"Am I mental for not seeing the   WhereIsRey   outrage? The figure in that scale is coming with BB8, she's available in several other scales.Am I mental for not seeing the   WhereIsRey   outrage? The figure in that scale is coming with BB8, she's available in several other scales.",314
